x;y;z;R;G;B;semantic_label
3.88223743;-2.85142636;-5.81376410;138;105;80;1.000000
3.96478701;-2.72418904;-5.81582260;138;113;97;1.000000
3.90706277;-2.81805706;-5.81432533;137;112;95;1.000000
3.88327861;-2.89305830;-5.81327963;158;125;92;1.000000
3.89464307;-2.82140851;-5.81420183;142;109;84;1.000000
3.99133539;-2.77368402;-5.81541920;123;98;73;1.000000
3.78036308;-2.85720825;-5.81300592;175;142;117;1.000000
3.85082984;-2.77322960;-5.81447315;148;115;91;1.000000
3.92426491;-2.78769279;-5.81479979;135;110;85;1.000000
3.86145163;-2.84391260;-5.81371164;142;109;84;1.000000
4.07691717;-2.66217041;-5.81731319;138;105;80;1.000000
3.82000637;-2.84762478;-5.81338692;146;113;88;1.000000
3.84428406;-2.79725575;-5.81414557;154;121;97;1.000000
4.11445999;-2.65235853;-5.81768322;115;90;73;1.000000
3.87369728;-2.86849976;-5.81350470;142;109;84;1.000000
3.77342057;-2.83070326;-5.81327152;115;98;73;1.000000
3.82866669;-2.79612470;-5.81405306;156;123;98;1.000000
3.88916731;-2.86600280;-5.81363869;154;113;88;1.000000
3.85221195;-2.83463645;-5.81375837;110;86;69;1.000000
3.91276503;-2.86406112;-5.81382179;146;105;80;1.000000
3.98732615;-2.73901892;-5.81580067;138;105;80;1.000000
4.05807161;-2.71573400;-5.81655407;148;115;90;1.000000
3.83000875;-2.82205009;-5.81375647;148;115;98;1.000000
3.95062971;-2.78880978;-5.81496477;157;132;107;1.000000
3.89834547;-2.82952929;-5.81413078;138;105;80;1.000000
3.86556602;-2.83350492;-5.81386232;148;115;90;1.000000
4.02485132;-2.75580096;-5.81585693;130;97;72;1.000000
3.94279099;-2.85320091;-5.81415272;158;117;92;1.000000
4.00270796;-2.75917149;-5.81566715;138;105;80;1.000000
3.92812824;-2.77815485;-5.81493855;148;115;90;1.000000
3.99408102;-2.77538896;-5.81541777;145;120;95;1.000000
3.94523454;-2.80948997;-5.81468439;154;121;88;1.000000
4.01948071;-2.73392320;-5.81607819;155;104;87;1.000000
3.94254637;-2.80023146;-5.81477594;157;124;91;1.000000
3.99922037;-2.72580719;-5.81603670;138;105;88;1.000000
4.01297998;-2.76436949;-5.81567574;127;102;77;1.000000
3.84453964;-2.78759265;-5.81426096;154;121;97;1.000000
3.90086937;-2.76959062;-5.81485510;138;97;72;1.000000
3.87903976;-2.81421375;-5.81418085;150;109;84;1.000000
4.01129246;-2.73760629;-5.81597948;114;97;80;1.000000
4.04045868;-2.74076986;-5.81613970;134;101;76;1.000000
3.90357900;-2.87042713;-5.81368446;146;105;80;1.000000
3.87818217;-2.86147833;-5.81361771;138;105;80;1.000000
3.83171487;-2.82579613;-5.81372404;148;115;98;1.000000
3.81156778;-2.87609267;-5.81299448;142;109;92;1.000000
3.96727562;-2.78310490;-5.81514502;149;124;99;1.000000
3.85709572;-2.84407306;-5.81368017;137;112;95;1.000000
3.96838379;-2.75241470;-5.81551409;138;105;80;1.000000
3.86683202;-2.85153079;-5.81365871;138;105;80;1.000000
3.86818981;-2.85143948;-5.81366825;138;105;80;1.000000
3.91305041;-2.80845332;-5.81447887;154;113;88;1.000000
4.04643250;-2.69993758;-5.81666136;138;105;80;1.000000
3.91984320;-2.84354353;-5.81411123;148;115;91;1.000000
3.88867736;-2.84572649;-5.81387424;138;105;80;1.000000
3.95677853;-2.74868011;-5.81547976;138;105;80;1.000000
4.00380993;-2.73048544;-5.81601286;142;109;92;1.000000
3.82112741;-2.81665730;-5.81375980;131;106;82;1.000000
3.80950975;-2.82726574;-5.81355619;146;113;97;1.000000
4.04668427;-2.72146749;-5.81640911;142;101;76;1.000000
3.82539153;-2.80891228;-5.81387997;148;115;90;1.000000
3.84969592;-2.83176565;-5.81377506;110;86;69;1.000000
3.79222488;-2.85374832;-5.81312704;106;90;65;1.000000
3.87874889;-2.81219006;-5.81420326;156;115;90;1.000000
3.84761381;-2.77666926;-5.81441069;158;125;101;1.000000
3.82713485;-2.84627771;-5.81345177;146;113;88;1.000000
3.94186926;-2.73771691;-5.81550837;134;101;76;1.000000
3.98859143;-2.74930024;-5.81568813;142;109;84;1.000000
3.81929946;-2.86067796;-5.81322861;150;117;92;1.000000
3.98260021;-2.76037574;-5.81551695;132;99;74;1.000000
3.88675284;-2.89273739;-5.81330729;158;125;92;1.000000
3.86346197;-2.87056518;-5.81341076;134;101;84;1.000000
3.89180946;-2.86171293;-5.81370735;156;115;90;1.000000
3.96859717;-2.79331756;-5.81503344;145;112;87;1.000000
4.06469822;-2.66831589;-5.81715822;142;109;84;1.000000
3.92291617;-2.82968426;-5.81429529;154;121;88;1.000000
3.86832404;-2.85797906;-5.81359196;138;105;80;1.000000
4.04484415;-2.70479941;-5.81659365;138;105;80;1.000000
3.80364799;-2.84152222;-5.81334877;150;117;101;1.000000
3.75332642;-2.83240724;-5.81311512;148;115;90;1.000000
3.92563868;-2.77677703;-5.81493759;148;115;90;1.000000
3.90711951;-2.89530230;-5.81341505;150;109;84;1.000000
4.07930470;-2.69732046;-5.81691504;142;109;84;1.000000
3.93765354;-2.82510328;-5.81444931;158;125;101;1.000000
3.91832447;-2.85439706;-5.81397295;115;91;74;1.000000
3.84180665;-2.80534315;-5.81403351;142;109;84;1.000000
4.00522423;-2.74234104;-5.81588221;150;117;92;1.000000
3.85576081;-2.85219669;-5.81357574;115;90;73;1.000000
3.92275858;-2.87520671;-5.81375790;118;94;77;1.000000
3.90918112;-2.84536338;-5.81401777;142;101;76;1.000000
3.98581076;-2.75381732;-5.81561565;134;101;76;1.000000
4.05345488;-2.70466661;-5.81665325;132;99;74;1.000000
3.88975883;-2.91461158;-5.81306982;158;125;101;1.000000
3.90324473;-2.75799036;-5.81500769;142;109;84;1.000000
3.75842094;-2.83234549;-5.81315041;142;109;84;1.000000
4.05379677;-2.67456269;-5.81701088;146;105;88;1.000000
3.85092497;-2.77403259;-5.81446457;148;115;91;1.000000
3.95497704;-2.74067926;-5.81556225;132;99;74;1.000000
3.95618153;-2.77421165;-5.81517506;123;98;73;1.000000
3.88946676;-2.86298251;-5.81367636;156;115;90;1.000000
3.86360526;-2.79564261;-5.81429577;156;123;98;1.000000
3.86796570;-2.84289956;-5.81376791;142;109;84;1.000000
3.87300134;-2.78227091;-5.81451654;150;109;84;1.000000
3.77629948;-2.85167241;-5.81304359;165;132;107;1.000000
3.86929083;-2.88324714;-5.81330109;137;112;95;1.000000
3.93600941;-2.81432462;-5.81456518;151;110;85;1.000000
4.03827000;-2.68800855;-5.81674671;132;99;74;1.000000
3.97916842;-2.76658988;-5.81542015;138;105;80;1.000000
3.87398434;-2.85072541;-5.81371641;142;109;84;1.000000
3.78097939;-2.85860467;-5.81299353;175;142;117;1.000000
3.85747480;-2.79611039;-5.81424809;158;125;101;1.000000
3.88879418;-2.87156963;-5.81357050;154;113;88;1.000000
3.98467827;-2.75970149;-5.81553888;134;101;76;1.000000
3.88755894;-2.88758039;-5.81337357;158;117;92;1.000000
3.86180520;-2.81444192;-5.81406164;150;117;92;1.000000
3.87872791;-2.76845431;-5.81471825;138;105;80;1.000000
3.91803169;-2.78822780;-5.81475115;135;110;85;1.000000
3.95214343;-2.78245044;-5.81505060;123;98;73;1.000000
3.92768192;-2.86169481;-5.81395054;148;107;74;1.000000
3.82660103;-2.81957769;-5.81376266;157;132;107;1.000000
3.87586761;-2.76885533;-5.81469440;138;105;80;1.000000
4.02690697;-2.75940585;-5.81582832;134;101;76;1.000000
4.05011988;-2.68519020;-5.81686020;138;105;80;1.000000
3.79703856;-2.79896164;-5.81380558;154;113;88;1.000000
3.91411114;-2.76641107;-5.81498194;142;101;76;1.000000
3.90031338;-2.87497735;-5.81360865;150;109;84;1.000000
4.04711390;-2.70490479;-5.81660795;138;105;80;1.000000
3.89550948;-2.84436464;-5.81393671;142;101;76;1.000000
4.02310944;-2.75286603;-5.81587934;148;115;98;1.000000
3.78931141;-2.80374622;-5.81369686;156;123;98;1.000000
3.99954987;-2.70055294;-5.81633711;132;116;99;1.000000
3.91297054;-2.87700248;-5.81367064;150;109;84;1.000000
3.80996275;-2.86637783;-5.81309843;150;117;92;1.000000
3.96399856;-2.77724290;-5.81519222;127;102;77;1.000000
3.88720942;-2.91121078;-5.81309271;158;125;101;1.000000
3.87341523;-2.80543160;-5.81424618;137;112;95;1.000000
4.00699902;-2.70982909;-5.81627798;110;94;77;1.000000
3.89906836;-2.80471706;-5.81442833;154;113;88;1.000000
3.77428913;-2.85232735;-5.81302214;165;132;107;1.000000
3.82972836;-2.80629492;-5.81394053;146;113;88;1.000000
3.74929714;-2.83590603;-5.81304693;131;106;82;1.000000
4.03700209;-2.72800183;-5.81626701;138;97;72;1.000000
3.93439198;-2.78166890;-5.81493902;135;110;85;1.000000
3.98282480;-2.80866766;-5.81494904;148;107;82;1.000000
3.83801198;-2.86351991;-5.81332159;148;115;98;1.000000
3.85941100;-2.80022001;-5.81421280;150;117;92;1.000000
3.88826060;-2.84873486;-5.81383610;138;105;80;1.000000
3.86652136;-2.80619860;-5.81419039;137;112;95;1.000000
4.09744263;-2.65465808;-5.81754065;138;105;88;1.000000
3.84129572;-2.87568402;-5.81320047;148;115;98;1.000000
3.97891140;-2.75610662;-5.81554222;142;109;84;1.000000
3.84672189;-2.88863778;-5.81308460;142;109;92;1.000000
3.95331621;-2.74801445;-5.81546402;132;99;74;1.000000
3.89050579;-2.91676903;-5.81304932;154;121;97;1.000000
3.92339063;-2.84228802;-5.81415033;148;115;91;1.000000
3.93769646;-2.73400211;-5.81552362;138;113;88;1.000000
4.11780119;-2.64862895;-5.81774998;124;91;74;1.000000
3.87959480;-2.84528184;-5.81381798;148;115;90;1.000000
3.87949896;-2.90075231;-5.81316376;164;131;107;1.000000
3.80983734;-2.86241198;-5.81314373;140;107;82;1.000000
4.03194809;-2.74937391;-5.81598043;148;115;98;1.000000
3.77268004;-2.81386685;-5.81346512;150;117;92;1.000000
3.78957152;-2.85668397;-5.81307411;140;124;99;1.000000
3.83098316;-2.85073733;-5.81342506;148;115;90;1.000000
3.86370492;-2.85357165;-5.81361294;142;109;84;1.000000
4.03623676;-2.72298646;-5.81632090;138;97;72;1.000000
3.80952525;-2.86346936;-5.81312943;140;107;82;1.000000
4.08798885;-2.66101694;-5.81740189;142;109;84;1.000000
3.93264818;-2.73678732;-5.81545687;142;109;84;1.000000
3.95308709;-2.77870393;-5.81510067;123;98;73;1.000000
3.75555873;-2.81711411;-5.81331062;146;113;88;1.000000
3.90107584;-2.79253006;-5.81458616;123;98;73;1.000000
3.99241686;-2.76806951;-5.81549263;123;98;73;1.000000
3.79999328;-2.84285331;-5.81330776;150;117;101;1.000000
3.97761178;-2.78094745;-5.81524038;143;110;85;1.000000
3.91911387;-2.88380742;-5.81363153;156;115;90;1.000000
3.84495187;-2.83951735;-5.81365156;136;112;95;1.000000
3.85934162;-2.79123092;-5.81431818;158;125;101;1.000000
3.90435171;-2.81924891;-5.81429291;137;112;95;1.000000
3.87706518;-2.86233258;-5.81360054;138;105;80;1.000000
3.91043186;-2.83974266;-5.81409264;137;112;95;1.000000
3.98278189;-2.79726052;-5.81508303;148;107;82;1.000000
3.89666986;-2.88632488;-5.81344986;154;113;88;1.000000
3.88117886;-2.82275248;-5.81409454;142;109;84;1.000000
3.79718280;-2.81688523;-5.81359529;148;115;90;1.000000
3.84514689;-2.84173536;-5.81362677;136;112;95;1.000000
3.77552676;-2.84900689;-5.81306982;163;130;105;1.000000
3.91232967;-2.77712774;-5.81484365;132;99;74;1.000000
4.04599857;-2.72984362;-5.81630564;138;97;72;1.000000
3.84016871;-2.82572389;-5.81378222;149;124;99;1.000000
3.84459019;-2.85778403;-5.81343412;148;115;98;1.000000
3.95817232;-2.77321553;-5.81519985;115;90;65;1.000000
3.86472869;-2.88539410;-5.81324482;127;102;85;1.000000
3.80307007;-2.86945200;-5.81301498;146;121;97;1.000000
3.88394403;-2.82340360;-5.81410599;142;109;84;1.000000
3.93567348;-2.77056551;-5.81507874;148;115;90;1.000000
3.86602831;-2.87274933;-5.81340265;137;112;95;1.000000
3.98473382;-2.80415964;-5.81501484;138;97;72;1.000000
4.00953722;-2.77619910;-5.81551266;156;123;98;1.000000
3.86566162;-2.90414715;-5.81302977;135;102;77;1.000000
3.90081930;-2.84275174;-5.81399202;142;101;76;1.000000
4.11249876;-2.65371513;-5.81765366;137;112;95;1.000000
3.88387966;-2.85024834;-5.81378841;148;115;90;1.000000
3.89856100;-2.82037401;-5.81424046;150;109;92;1.000000
3.99706459;-2.71074820;-5.81619978;123;106;82;1.000000
3.85029507;-2.82308531;-5.81388187;149;124;99;1.000000
4.06903362;-2.67884421;-5.81706285;142;109;92;1.000000
4.01029873;-2.77497911;-5.81553221;150;117;92;1.000000
3.91062355;-2.87027717;-5.81373405;150;109;84;1.000000
3.94331789;-2.84466290;-5.81425714;154;121;97;1.000000
4.01972961;-2.74504256;-5.81594896;132;99;82;1.000000
3.91662145;-2.74572134;-5.81524277;132;99;74;1.000000
3.79903054;-2.84636593;-5.81326008;138;113;88;1.000000
3.82027078;-2.87227035;-5.81309891;148;115;98;1.000000
3.93971372;-2.79653692;-5.81480026;163;130;97;1.000000
3.90170455;-2.77314234;-5.81481886;140;107;82;1.000000
4.05436325;-2.70394158;-5.81666803;138;105;80;1.000000
3.86692810;-2.85711718;-5.81359339;138;105;80;1.000000
3.96893358;-2.73909926;-5.81567526;138;105;80;1.000000
3.41235352;-2.41641879;-5.81545258;148;115;82;1.000000
3.50442624;-2.51610327;-5.81496620;142;101;76;1.000000
4.20679569;-2.36314297;-5.82160997;142;109;92;1.000000
3.69964051;-2.51222897;-5.81637478;141;124;107;1.000000
3.50177026;-2.64461184;-5.81349134;142;109;84;1.000000
4.20954180;-2.25919390;-5.82280731;132;91;66;1.000000
3.35829592;-2.50492811;-5.81407118;127;110;85;1.000000
3.38737798;-2.65264654;-5.81260061;146;105;80;1.000000
4.27596045;-2.45938611;-5.82100296;142;101;76;1.000000
4.02741766;-2.51740193;-5.81860781;138;105;80;1.000000
3.51053500;-2.56425905;-5.81446314;150;109;84;1.000000
4.14558697;-2.32217741;-5.82164669;134;101;84;1.000000
3.96106482;-2.59280729;-5.81728935;115;91;74;1.000000
3.81215310;-2.42511272;-5.81814909;156;115;90;1.000000
3.46555662;-2.59165049;-5.81383848;138;105;72;1.000000
3.86451626;-2.71986270;-5.81517458;142;109;84;1.000000
3.40561032;-2.60632873;-5.81325340;156;115;90;1.000000
3.53591371;-2.70007539;-5.81310177;148;115;98;1.000000
4.16603756;-2.59188271;-5.81873322;123;107;82;1.000000
3.81016731;-2.39439249;-5.81848335;156;115;90;1.000000
4.03108025;-2.63806915;-5.81726599;134;101;76;1.000000
3.49703240;-2.70169544;-5.81281137;156;115;98;1.000000
3.55121589;-2.64404798;-5.81384325;123;98;73;1.000000
3.83483720;-2.37824488;-5.81883860;156;115;90;1.000000
3.27812362;-2.43445086;-5.81430960;165;124;91;1.000000
4.29446936;-2.34874845;-5.82238626;134;101;84;1.000000
3.83951259;-2.36013746;-5.81907654;154;113;88;1.000000
3.17983365;-2.45075369;-5.81343794;156;115;98;1.000000
4.17954588;-2.34908962;-5.82157898;127;110;85;1.000000
3.49994397;-2.40689301;-5.81617308;165;132;107;1.000000
3.95475388;-2.43807364;-5.81899881;142;101;76;1.000000
3.64062977;-2.65252113;-5.81437302;164;131;98;1.000000
3.78975940;-2.55991411;-5.81646442;148;107;74;1.000000
4.03754854;-2.57829857;-5.81798887;132;107;91;1.000000
3.83431816;-2.74687505;-5.81465769;123;106;82;1.000000
4.40930033;-2.21640587;-5.82468843;158;117;92;1.000000
3.96015835;-2.47372818;-5.81863260;142;109;84;1.000000
3.83424067;-2.57065296;-5.81665421;153;112;87;1.000000
3.84347701;-2.72400355;-5.81498098;148;115;90;1.000000
3.34235168;-2.44000006;-5.81469584;115;90;65;1.000000
3.85661650;-2.71143985;-5.81521511;138;105;88;1.000000
3.59680820;-2.55889511;-5.81512737;124;91;74;1.000000
3.60120916;-2.69028258;-5.81366920;150;109;84;1.000000
4.40822029;-2.29453182;-5.82379580;163;121;88;1.000000
4.14980078;-2.54415250;-5.81916046;104;87;70;1.000000
3.96324325;-2.27059603;-5.82095623;134;101;76;1.000000
3.93740320;-2.62705493;-5.81673574;142;109;92;1.000000
3.26563001;-2.44785333;-5.81407070;164;123;98;1.000000
3.60771680;-2.40931845;-5.81689835;154;121;97;1.000000
4.27111721;-2.38702703;-5.82178926;125;101;84;1.000000
3.99189472;-2.37153792;-5.82001257;134;92;59;1.000000
4.23608732;-2.39314318;-5.82147503;115;99;74;1.000000
4.02230406;-2.45864511;-5.81923771;158;117;92;1.000000
3.55382919;-2.65438986;-5.81374502;123;90;65;1.000000
3.61324573;-2.57246876;-5.81508827;140;107;82;1.000000
3.58732748;-2.47964668;-5.81595898;148;115;82;1.000000
4.09306049;-2.47704744;-5.81952381;125;92;59;1.000000
3.67534876;-2.44494772;-5.81696796;154;121;88;1.000000
3.86297631;-2.39005542;-5.81890154;154;121;88;1.000000
3.84512782;-2.60523438;-5.81633806;142;109;84;1.000000
3.39273882;-2.53547144;-5.81396627;146;105;80;1.000000
3.38211203;-2.39980364;-5.81542921;158;117;92;1.000000
3.66586614;-2.60271645;-5.81511354;121;97;72;1.000000
3.75922585;-2.52520895;-5.81664467;142;117;92;1.000000
3.69580770;-2.39550877;-5.81767130;146;113;88;1.000000
4.37149715;-2.34287214;-5.82299089;149;107;83;1.000000
4.24988270;-2.48347068;-5.82054758;138;97;64;1.000000
3.37468696;-2.48126173;-5.81445408;164;131;107;1.000000
4.00346470;-2.26081800;-5.82134819;130;105;80;1.000000
3.91503096;-2.69412088;-5.81581926;134;109;92;1.000000
4.13459444;-2.24058366;-5.82249403;142;109;84;1.000000
3.94065309;-2.60333776;-5.81702757;164;123;98;1.000000
4.26170063;-2.42258978;-5.82132006;142;101;76;1.000000
3.20908546;-2.49676251;-5.81312084;150;117;92;1.000000
3.88791752;-2.41869426;-5.81875134;167;125;101;1.000000
4.22836208;-2.31414652;-5.82231617;142;101;76;1.000000
3.29499221;-2.56929421;-5.81289959;138;97;64;1.000000
3.68166232;-2.60671926;-5.81517839;139;115;90;1.000000
3.61217618;-2.59012675;-5.81488085;158;117;92;1.000000
3.86448479;-2.33158779;-5.81957436;163;130;105;1.000000
3.87269402;-2.71372652;-5.81530142;142;109;92;1.000000
4.01820612;-2.32518244;-5.82072163;121;105;80;1.000000
4.26233816;-2.22048664;-5.82361507;130;105;80;1.000000
3.59530282;-2.52360106;-5.81551695;138;105;80;1.000000
3.81324816;-2.69738960;-5.81507063;157;132;107;1.000000
3.61396694;-2.44014072;-5.81659317;156;131;107;1.000000
3.97345829;-2.36497569;-5.81995821;140;107;82;1.000000
3.67311311;-2.65775681;-5.81454039;164;131;107;1.000000
3.31636357;-2.60140228;-5.81268501;132;91;58;1.000000
4.10708523;-2.40986276;-5.82038355;142;101;76;1.000000
3.80061078;-2.41079164;-5.81823063;111;86;61;1.000000
3.75900531;-2.45248461;-5.81746674;154;121;97;1.000000
3.27230382;-2.48898339;-5.81365108;140;99;66;1.000000
3.94239426;-2.30698514;-5.82039833;130;97;72;1.000000
3.99333763;-2.32206225;-5.82058334;124;91;66;1.000000
3.96724153;-2.58428884;-5.81742954;136;112;95;1.000000
3.65376163;-2.67186117;-5.81424522;167;134;101;1.000000
3.77697253;-2.30902839;-5.81921864;150;117;92;1.000000
4.04369259;-2.26347995;-5.82159948;128;104;79;1.000000
3.40846777;-2.64636040;-5.81281948;146;105;80;1.000000
4.22850990;-2.26688385;-5.82285309;140;98;65;1.000000
3.33820391;-2.52659249;-5.81368542;161;128;104;1.000000
4.15420961;-2.38016510;-5.82104969;148;115;90;1.000000
3.75987124;-2.40534711;-5.81800747;167;134;109;1.000000
4.19705868;-2.45641732;-5.82048464;148;107;82;1.000000
3.52407146;-2.54338217;-5.81479454;150;117;92;1.000000
3.69282651;-2.68652391;-5.81435204;138;105;80;1.000000
3.56290674;-2.50288701;-5.81552505;154;121;88;1.000000
3.39555931;-2.42263865;-5.81526423;131;98;73;1.000000
4.23122215;-2.31855631;-5.82228613;132;91;58;1.000000
3.54315615;-2.60338616;-5.81424809;135;102;77;1.000000
3.62741303;-2.53089738;-5.81565857;142;101;76;1.000000
4.06379080;-2.62662220;-5.81762457;138;105;80;1.000000
3.49006748;-2.38535714;-5.81634760;154;113;88;1.000000
3.24033213;-2.43115830;-5.81408310;123;90;65;1.000000
4.09429693;-2.28073573;-5.82175779;124;91;58;1.000000
3.63779688;-2.49798346;-5.81610441;119;102;68;1.000000
3.97583055;-2.62230825;-5.81705856;148;115;98;1.000000
3.77110553;-2.46891856;-5.81736565;157;124;91;1.000000
3.73262334;-2.77619338;-5.81361389;121;105;80;1.000000
3.74655914;-2.73163342;-5.81421661;148;115;98;1.000000
3.70172381;-2.37191796;-5.81797934;146;113;88;1.000000
3.39286590;-2.52038193;-5.81413794;140;107;82;1.000000
3.98610783;-2.66839409;-5.81660795;148;115;98;1.000000
3.86902738;-2.74528503;-5.81491804;145;128;104;1.000000
3.72704029;-2.44272566;-5.81735420;150;117;92;1.000000
4.20092344;-2.34810925;-5.82173920;138;105;88;1.000000
4.32536459;-2.28751731;-5.82329607;142;101;76;1.000000
4.21569586;-2.22976208;-5.82318354;138;97;72;1.000000
3.21941924;-2.55258417;-5.81256056;172;138;121;1.000000
4.03295183;-2.55538273;-5.81821585;140;107;82;1.000000
3.60960913;-2.37196684;-5.81733561;137;112;87;1.000000
3.30137038;-2.52928042;-5.81339741;138;97;72;1.000000
