x;y;z;R;G;B;semantic_label
-2.26156521;-2.36763644;-4.18323088;146;105;80;1.000000
-2.76524162;-1.44195390;-6.12228632;229;237;237;2.000000
4.46023321;-2.47402191;-2.30892229;146;121;97;1.000000
-2.05184150;-2.09117126;-5.89906549;150;109;92;3.000000
1.96738315;-2.34257269;-5.47833729;107;107;107;5.000000
-1.54147315;-2.33095360;-6.62264681;150;109;92;1.000000
-2.54739642;-2.34875512;-5.05136681;134;101;76;1.000000
4.85850763;-2.48632789;-1.86828899;150;117;92;1.000000
1.02823544;-2.35236931;-6.93461704;132;99;74;1.000000
2.57064366;-2.41315961;-4.51629257;173;140;107;1.000000
7.75575209;-0.94637799;-4.68087292;168;226;250;2.000000
4.52964687;-2.48018169;-2.01168537;134;101;76;1.000000
-2.78249002;-0.00421747;-6.94348669;211;211;211;0.000000
-1.33722806;-2.12007213;-3.35547471;92;76;68;5.000000
1.04721725;-2.35008836;-7.07171822;125;101;76;1.000000
-2.79354978;-1.46988571;-4.17995358;154;163;171;2.000000
7.75833368;-0.69441253;-5.77855873;156;164;173;2.000000
6.17674351;-0.15685998;-3.84971499;204;204;204;0.000000
6.55083609;-2.47799897;-3.32457995;142;109;84;1.000000
-1.55725121;-1.20282233;-7.05100679;255;255;255;2.000000
0.15662603;-0.09678900;-3.59491539;231;231;231;0.000000
1.72151566;-2.30273533;-5.53712463;115;115;115;5.000000
2.07644653;-2.37778354;-6.15508747;163;130;97;1.000000
-0.43571401;-1.89982295;-5.94997883;99;99;99;5.000000
-0.01905739;-0.04167151;-6.51793337;198;198;198;0.000000
-2.52897859;-2.38342309;-3.15847278;150;109;84;1.000000
7.39190483;-2.45118451;-5.29352951;158;117;92;1.000000
7.72876692;-1.82520330;-5.54072380;181;148;140;2.000000
-2.77478528;-1.36851048;-5.10581732;97;121;105;2.000000
-1.22882521;-1.17519498;-7.05905581;156;164;173;2.000000
5.70354700;-0.14773908;-4.07124662;220;220;220;0.000000
6.16635084;-0.16114190;-3.60844350;220;220;220;0.000000
-1.04955208;-0.05634161;-5.10408974;224;224;224;0.000000
1.70556521;-1.67691922;-7.07451010;156;164;173;2.000000
-2.72927356;-1.83414471;-5.92101908;171;121;97;2.000000
0.00925872;-2.41555452;-2.89233303;115;98;73;1.000000
3.43858981;-2.38313770;-6.67275763;138;105;88;1.000000
2.24452662;-1.49259388;-7.12569475;154;154;163;2.000000
0.80537021;-2.43962169;-2.04060745;121;105;80;1.000000
-0.49984428;-0.06685899;-4.85099125;212;212;212;0.000000
2.92912531;-2.41256952;-4.75849628;130;97;72;1.000000
7.18030930;-2.43732095;-5.92995453;131;106;82;1.000000
-2.08501506;-0.09929147;-2.13433361;197;197;197;0.000000
-2.77884889;-0.18437231;-3.49579215;158;167;175;2.000000
-1.32633877;-0.07783474;-3.76042867;224;224;224;0.000000
2.19254827;-0.32801023;-7.05172729;156;164;173;2.000000
5.20101786;-1.98689187;-3.85950303;97;97;97;5.000000
-0.03381412;-2.37006736;-5.36471748;131;98;74;1.000000
1.93636072;-1.85531914;-5.92545509;171;113;88;5.000000
-1.86216319;-1.20811439;-7.05821943;156;164;173;2.000000
7.46437454;-0.13671762;-5.71584988;223;223;223;0.000000
-2.04976535;-2.36351109;-4.53479528;163;130;97;1.000000
0.86145890;-2.10827899;-7.35988140;162;145;128;2.000000
7.64932108;-2.45430613;-5.27408934;150;117;92;1.000000
6.15219641;-1.92139149;-7.08879995;182;149;141;2.000000
4.28202200;-2.44493198;-3.79670620;138;105;80;1.000000
1.22679818;-2.41986132;-3.36355853;156;115;90;1.000000
1.70367885;-0.44409099;-7.05268621;156;164;173;2.000000
4.07190323;-0.98344874;-7.11519432;135;135;143;2.000000
-2.78156114;-0.54739249;-2.87237167;157;165;173;2.000000
-1.82541573;-2.12514639;-4.11798096;150;109;92;5.000000
2.51095605;-1.84614992;-5.62238026;146;97;80;3.000000
2.10500169;-0.51594359;-7.05485725;158;167;175;2.000000
7.03729010;-2.50179243;-2.30514193;150;109;84;1.000000
-0.34819013;-2.35272169;-6.13163948;153;128;104;1.000000
5.30779266;-0.14349107;-4.07092237;207;207;207;0.000000
7.74458838;-2.03419542;-5.59722233;158;134;125;2.000000
-2.79335880;-1.21233606;-5.60628033;154;163;171;2.000000
7.72641182;-1.85111701;-2.13544893;182;148;148;2.000000
4.02130938;-2.40173626;-6.00385189;158;125;101;1.000000
6.68934870;-0.19944541;-1.81378508;224;224;224;0.000000
5.76780987;-1.75793982;-7.06565571;183;150;142;2.000000
-2.22796488;-1.94090569;-6.14969206;130;88;72;3.000000
-2.58800340;-0.25106418;-7.03965425;154;163;171;2.000000
6.55776119;-0.16695634;-3.52017450;222;222;222;0.000000
2.71504235;-0.08245783;-5.89205503;223;223;223;0.000000
7.75840425;-0.94404334;-4.25131416;154;163;171;2.000000
-2.60968900;-1.58483446;-2.08576870;106;123;55;4.000000
6.92030239;-2.43761230;-5.76050043;145;112;87;1.000000
-2.49743843;-1.97099209;-7.07029819;186;153;145;2.000000
6.95613575;-0.74036467;-7.06969881;158;167;175;2.000000
1.78352964;-0.93687624;-7.06158686;157;165;173;2.000000
5.76370001;-2.18503022;-5.03335047;105;72;64;3.000000
7.20362186;-1.80627763;-2.21366167;194;194;194;4.000000
-0.00488112;-2.41768503;-2.76699018;135;102;77;1.000000
5.38152075;-1.94431651;-5.03850746;64;64;64;3.000000
5.14924908;-2.47147536;-2.85547829;140;99;74;1.000000
7.49159431;-2.23520184;-3.26652622;140;140;140;4.000000
1.74947381;-2.42057705;-3.63081741;150;109;84;1.000000
7.75880003;-1.26369417;-2.12239313;156;164;173;2.000000
-0.71355492;-2.34223914;-6.49163103;130;113;88;1.000000
7.75497198;-1.07587695;-4.35160065;111;162;179;2.000000
4.40761137;-2.35519242;-7.07596731;181;148;140;2.000000
-2.77738452;-0.07127408;-3.33930993;156;164;173;2.000000
7.75169611;-1.71008515;-3.49426627;157;165;173;2.000000
6.01677370;-2.43312383;-5.47362232;148;107;82;1.000000
3.56474113;-2.04178572;-5.37438869;84;84;84;5.000000
-1.05801940;-0.06174963;-4.80211544;223;223;223;0.000000
0.39618292;-0.03493804;-7.13277531;227;227;227;0.000000
0.75203997;-2.07518172;-7.35809565;224;224;224;2.000000
-2.32545757;-1.86984968;-7.06889343;187;154;146;2.000000
7.42374468;-2.42479157;-6.76167107;127;102;77;1.000000
-2.66363239;-2.03245473;-2.04513502;180;197;180;4.000000
0.01522594;-2.37472796;-5.13774061;142;101;68;1.000000
-2.77214456;-1.15752089;-4.86503744;95;120;104;2.000000
7.76397181;-0.22380666;-5.38284683;156;164;173;2.000000
0.92232215;-2.37746644;-5.50437880;135;110;85;1.000000
-2.77168751;-2.32371807;-6.29383516;138;121;97;1.000000
-2.56357884;-2.39960647;-2.24938345;148;107;82;1.000000
-0.73009712;-2.36196256;-5.39877415;164;123;90;1.000000
7.75464678;-0.99013126;-6.10951662;154;163;171;2.000000
-0.45660216;-2.19799328;-5.96379948;105;105;105;5.000000
7.75004864;-1.45114481;-5.97238874;154;163;171;2.000000
0.98067015;-2.38725567;-5.00235462;138;97;64;1.000000
-1.67416394;-2.33449340;-6.34993792;185;151;117;1.000000
4.41944313;-2.20183516;-3.55527210;104;104;104;3.000000
-2.70847845;-1.79402876;-2.38288784;181;198;181;4.000000
-2.79930401;-1.64138043;-6.42384958;157;165;173;2.000000
-2.46963072;-1.74761891;-2.81116009;229;229;229;4.000000
4.83081722;-0.16017598;-2.87316036;223;223;223;0.000000
7.38651705;-1.43089771;-2.83602190;103;103;103;4.000000
-1.51619530;-0.09925648;-2.47201300;214;214;214;0.000000
2.00552273;-2.31802058;-5.92749071;109;109;109;5.000000
-0.37081447;-0.72633672;-7.05303335;154;163;171;2.000000
5.30204582;-2.44904852;-4.17724133;123;90;65;1.000000
1.78680313;-0.05629826;-6.78065014;224;224;224;0.000000
0.98594457;-0.07896706;-5.06313181;224;224;224;0.000000
4.91807699;-2.43774605;-4.57027531;138;105;80;1.000000
7.75356388;-1.43613994;-4.06667995;156;164;173;2.000000
0.22921193;-2.35975814;-6.08363914;158;125;101;1.000000
7.33779812;-2.51136613;-1.95681715;142;109;84;1.000000
2.99322081;-0.88272959;-7.11657858;130;130;138;2.000000
-2.78259730;-0.81596369;-1.86029434;158;167;175;2.000000
2.86236691;-1.97030318;-3.01990128;97;97;97;5.000000
1.72678328;-1.45620203;-7.07065105;156;164;173;2.000000
6.80878592;-2.44583678;-5.24305725;134;101;76;1.000000
1.82231593;-2.06350303;-3.85216117;109;109;109;3.000000
0.25285804;-2.34489989;-6.90850496;175;134;109;1.000000
-0.10656095;-2.43009877;-2.02527189;154;121;88;1.000000
5.88894033;-0.15425564;-3.82284307;222;222;222;0.000000
3.29667258;-1.63460207;-7.11234045;157;165;173;2.000000
6.08425188;-0.32755476;-7.06043911;156;164;173;2.000000
1.92146420;-2.35991812;-7.05060244;140;107;82;1.000000
0.77388984;-0.06012331;-5.97274017;214;214;214;0.000000
6.63306952;-0.11104748;-6.63478756;222;222;222;0.000000
5.86696672;-2.47409415;-3.13533902;153;120;95;1.000000
-1.50501847;-0.10973752;-1.90304184;220;220;220;0.000000
-1.83930981;-0.02624938;-6.29038048;224;224;224;0.000000
-1.27214813;-2.37784147;-4.20687008;163;130;105;1.000000
6.63189936;-0.16452880;-3.69724417;221;221;221;0.000000
0.46775091;-2.37562847;-5.35027122;150;109;84;1.000000
4.00157404;-2.46833301;-2.34874773;157;124;99;1.000000
7.72681475;-1.83188152;-5.96640301;181;148;140;2.000000
4.05814219;-2.40395069;-5.90472507;158;125;92;1.000000
6.34701920;-0.16745117;-3.36860585;224;224;224;0.000000
7.37483740;-2.41688442;-7.07553482;160;135;127;2.000000
2.74177647;-0.14988977;-2.20490313;212;212;212;0.000000
6.34999990;-0.16379972;-3.57087970;221;221;221;0.000000
7.72876024;-1.83515954;-5.26549721;183;150;142;2.000000
7.69366598;-2.43724823;-6.23696327;115;90;65;1.000000
5.75998354;-1.98378885;-2.60947990;109;76;68;3.000000
-2.04594445;-2.34242034;-5.69522572;161;144;119;1.000000
5.59048843;-2.48164415;-2.55759335;154;113;80;1.000000
6.59580183;-0.16070201;-3.88609362;222;222;222;0.000000
4.15196609;-2.40525985;-5.88925457;144;110;93;1.000000
5.47191525;-0.09461531;-6.85175371;221;221;221;0.000000
0.38589513;-2.39337516;-4.33256435;138;105;88;1.000000
0.75309676;-1.34944320;-7.34508991;187;187;187;2.000000
-2.71292377;-2.31885457;-6.59556580;154;113;88;1.000000
-1.49234474;-2.41073132;-2.27078295;121;105;88;1.000000
-0.43146470;-0.03625901;-6.57172489;193;193;193;0.000000
5.04416943;-2.30472159;-3.21595407;113;113;113;5.000000
-0.50689805;-2.42187524;-2.24052715;150;109;84;1.000000
0.54850936;-2.43801308;-1.97733927;145;112;95;1.000000
2.98854303;-2.45472789;-2.49529457;142;109;92;1.000000
6.49908209;-0.15834247;-3.95855069;218;218;218;0.000000
-2.79517102;-1.14621019;-7.02833176;154;163;171;2.000000
0.71211839;-0.06280546;-5.78898954;201;201;201;0.000000
3.20517588;-2.46610284;-2.00216484;138;105;88;1.000000
3.31476712;-2.41413713;-4.90278625;121;104;87;1.000000
-1.33575404;-2.39686680;-3.12460828;149;124;99;1.000000
-2.78915381;-0.74173260;-6.02301741;158;167;175;2.000000
-2.00167322;-2.33978343;-5.86612082;163;130;105;1.000000
-2.76783729;-0.94193584;-3.70471573;97;121;105;2.000000
0.83398789;-1.92690277;-7.36682081;173;173;173;2.000000
5.01304388;-2.41702557;-5.76059961;153;120;95;1.000000
4.82692385;-2.40774107;-6.15723133;142;109;84;1.000000
7.74490786;-1.98296368;-5.72153854;187;154;146;2.000000
1.88966846;-1.88519406;-5.67170000;59;59;59;5.000000
-2.49582505;-2.38399053;-2.13463020;180;197;180;4.000000
0.68067795;-2.41309595;-3.42287302;134;101;84;1.000000
1.18045986;-1.91827631;-3.43637800;59;59;59;5.000000
3.06937218;-1.94157672;-2.96518373;105;72;64;5.000000
6.81857729;-2.50107551;-2.21542788;138;97;72;1.000000
-0.27234057;-0.04346726;-6.26980448;227;227;227;0.000000
6.00809669;-0.17297469;-2.86524487;224;224;224;0.000000
-2.76580000;-0.14187324;-5.11449718;224;224;224;2.000000
3.72999120;-2.45667100;-2.82425976;138;105;80;1.000000
-2.08512354;-2.32656527;-6.54270077;142;109;92;1.000000
2.59523201;-0.72137415;-7.09812260;200;200;200;2.000000
7.36436367;-2.37471604;-5.87560940;68;68;68;4.000000
5.59465790;-1.36605310;-7.13096189;154;163;171;2.000000
0.80428386;-2.39697075;-4.37285614;145;120;104;1.000000
3.43683720;-0.52557665;-7.05801201;156;164;173;2.000000
7.76015902;-0.87029731;-3.69561791;156;164;173;2.000000
-0.51404834;-2.41143298;-2.80972767;138;105;80;1.000000
3.49150825;-1.30173397;-7.12511063;163;171;179;2.000000
5.94528484;-2.41392255;-6.48586130;150;109;84;1.000000
6.62444115;-0.17504498;-3.11535621;210;210;210;0.000000
7.75444889;-1.01014948;-6.10232496;157;165;173;2.000000
4.74171782;-2.19441175;-4.05944252;105;105;105;3.000000
3.96620154;-1.83434701;-7.08236217;170;136;136;2.000000
5.72835112;-1.96207488;-4.72051239;117;66;66;3.000000
-0.67495018;-1.52874100;-7.06655407;156;164;173;2.000000
1.04592514;-2.37345910;-5.79253197;153;120;95;1.000000
-2.46458268;-2.38804841;-2.94249058;102;85;68;1.000000
1.03239560;-1.59424520;-7.35180616;158;107;56;2.000000
-1.42367053;-2.39749670;-3.03808069;130;97;72;1.000000
0.65532708;-2.35549736;-6.55495930;146;113;97;1.000000
-0.63406891;-0.03963429;-6.26677322;204;204;204;0.000000
-2.74758410;-0.70474571;-7.04732656;157;165;173;2.000000
7.76051044;-0.48234689;-5.80695295;156;164;173;2.000000
3.60838318;-2.45289230;-2.95852089;118;102;77;1.000000
-2.57258582;-1.83716738;-5.84751415;156;106;82;5.000000
7.24800539;-2.42428613;-6.68566132;156;123;98;1.000000
7.75621176;-1.01196575;-5.09116173;154;163;171;2.000000
-1.29060090;-2.10885763;-4.10957766;167;134;117;5.000000
5.19648361;-2.26885772;-3.86686254;109;109;109;5.000000
5.23534250;-2.43916607;-4.68054533;164;123;98;1.000000
-1.93624675;-2.34828401;-5.43802071;149;132;107;1.000000
5.23502207;-1.42899477;-7.12568569;196;196;196;2.000000
7.75414944;-1.54334009;-3.09606838;154;163;171;2.000000
-1.80580902;-1.98520172;-3.74839783;128;95;87;5.000000
7.74231434;-2.09521604;-6.52416182;181;148;140;2.000000
-1.57933736;-2.32452130;-6.95357895;119;102;68;1.000000
1.14361227;-2.04721832;-3.64694118;87;87;87;5.000000
1.78187776;-2.00390339;-5.91201878;69;69;69;5.000000
5.49685431;-2.47311687;-2.97056341;142;109;84;1.000000
-2.77370429;-1.66090977;-6.27639914;175;142;134;2.000000
-0.93452096;-1.04675734;-7.05744171;158;167;175;2.000000
2.51591516;-2.45991302;-1.93569088;150;117;92;1.000000
4.63466454;-2.44183564;-4.17701817;115;98;73;1.000000
-2.79796004;-1.97917068;-3.64850116;189;156;148;2.000000
-2.78168893;-0.05581042;-5.87368774;156;164;173;2.000000
0.67580169;-0.09604612;-3.94218493;221;221;221;0.000000
-1.44656146;-1.72959435;-7.06837988;186;153;145;2.000000
-2.78291750;-0.59444034;-3.36242294;157;165;173;2.000000
4.58537149;-1.85158026;-3.94571757;191;142;117;3.000000
0.53728253;-2.35957360;-6.26621580;167;134;109;1.000000
2.70959306;-1.69691896;-7.07711411;156;164;173;2.000000
5.32379627;-2.47833347;-2.58194399;163;121;88;1.000000
6.45525694;-0.16836460;-3.38234043;223;223;223;0.000000
6.22897053;-2.42562604;-6.01059008;138;105;80;1.000000
-0.20584126;-1.59490871;-7.06877565;154;163;171;2.000000
7.75880432;-0.82891828;-4.71049786;156;164;173;2.000000
7.35074234;-1.51708901;-2.77356768;177;177;177;4.000000
3.84969711;-2.42833805;-4.44588184;165;132;99;1.000000
-1.29684567;-0.02839282;-6.49286270;215;215;215;0.000000
6.91753769;-2.45947146;-4.55844641;142;101;76;1.000000
-0.67898363;-1.85347950;-5.59034348;90;65;57;5.000000
2.76955843;-2.38339877;-6.25830698;134;101;76;1.000000
6.46936846;-2.48145318;-3.08678412;131;107;90;1.000000
7.33436298;-1.56948423;-2.71295643;165;165;165;4.000000
